name,type
-,O
--,O
-000楼,O
-00单元-,O
-00楼,O
-0楼,O
-、,O
-微信号,O
/,O
00-00层,O
000-A,O
000000,O
0000单元,O
0000秋季航空服务四班老校区,O
000A,O
000单元,O
000层,O
000楼,O
000油卡带着AAAA机客户刷卡送单提前一天联系谢谢,O
00A,O
00单元,O
00单元0楼,O
00层,O
00层A,O
00楼,O
00楼AAA,O
00楼电联,O
00楼西,O
00楼须本人签,O
0A楼,O
0于妥后,O
0单元,O
0单元000室,O
0单元00楼,O
0单元0楼,O
0单元地下室,O
0单元电联,O
0单无,O
0层,O
0楼,O
0楼一层,O
0楼习小姐,O
0楼南,O
0楼电联,O
0楼西侧,O
0楼西面,O
0楼部,O
0楼链接体,O
0电联,O
?,O
?_000000,O
?坏缌?,O
A,O
A0000000000000000000000000AAAAAAA,O
A000楼,O
AAAA,O
AAAA//AAAAAAAAAAAAAAA,O
AAAAAAA,O
A山村,O
A院线,O
_,O
_000000,O
__,O
_不收到付和平邮的哦,O
_二楼,O
_单位,O
_四单元,O
_寄件人电话在收件地址后面,O
_张某收,O
_我讨饶,O
_手机号,O
_江某某,O
_王经理_,O
_生鲜食品节假日正常派送,O
、,O
、00A,O
一,O
一单,O
一单元,O
一层,O
一楼,O
七单元,O
七层楼,O
七楼,O
三单元,O
三楼,O
三楼_,O
上,O
上组,O
下沙街道,O
与,O
东,O
东段,O
东部,O
中,O
中国,O
之,O
之一,O
之三,O
九单元,O
九层,O
九楼,O
九楼中,O
习某某,O
二单元,O
二单元_,O
二楼,O
二楼_,O
五_,O
五单元,O
五楼,O
五楼_,O
交,O
交汇,O
仃姓,O
代购,O
以东,O
企业,O
低昂海区,O
低联,O
八单元,O
八楼,O
八楼西边,O
六单元,O
六楼,O
其他,O
其他地区,O
其它区,O
其它区商城,O
其它区此地址不处理退货_请联系客服处理,O
其它地区,O
内,O
到,O
到了电联自取,O
到底,O
势纸值滥波,O
包子朋友耶,O
北,O
北侧,O
北尾段,O
北段,O
十五楼,O
十八楼,O
华东,O
南,O
南/,O
南段,O
南端,O
南边,O
原单号,O
原单号000000000000,O
县,O
及,O
口,O
可以吗,O
可以开箱验货试穿,O
可开箱验货试穿不到自取谢先生,O
号,O
同意自取,O
后,O
后栋,O
后面,O
向,O
向北,O
向南,O
向西还,O
吧,O
和,O
唐,O
嗯_,O
四单元,O
四单元0楼,O
四大八小,O
四楼,O
团,O
团队长,O
地区,O
地处,O
城镇,O
处,O
外,O
大,O
大麻,O
头,O
委托件,O
室,O
家,O
富,O
对过,O
对面,O
小,O
工,O
工业园,O
已说明损坏不赔寄方已同意,O
市,O
市区,O
幢,O
平邮以及到付件拒签,O
底商,O
廖,O
张某,O
张某某,O
彭某收,O
志愿者,O
急件及时派送,O
懂,O
或,O
房东接收,O
打电话取,O
提前致电,O
搞活经济,O
支持开箱验货试穿同意自取,O
收,O
收回单,O
收方地址收方地址,O
新增,O
旁,O
旁边,O
明显是宽容更新世纪会立即,O
是,O
晕,O
最东面0楼,O
有事,O
有疑问请联系,O
有疑问请联系主管,O
村,O
杠_,O
杭,O
林,O
柳,O
植入,O
楼,O
正对门,O
沈,O
河,O
油卡,O
注_快递哥不用打电话直接放物业办公室谢谢哈不用电话了_本人电话太多请理解,O
温某,O
港,O
满,O
滨,O
片,O
现金,O
生鲜食品节假日正常派送,O
田?A,O
电动车,O
电联,O
电话,O
电话都好好的就,O
疑问请联系,O
疯子,O
的,O
皖,O
直销,O
省,O
礼物是,O
第九层,O
第四层,O
组,O
组长,O
老,O
联系,O
联系电话,O
自取,O
自提,O
自编,O
自编-号,O
行,O
街道,O
西,O
西侧,O
西单元,O
见面单,O
观象,O
详细地址请客服联系收件人谢谢,O
请务必旺旺联系客服索要正确退货地址,O
请确认物品完好再行签收,O
谢某某,O
谢某某收,O
负七楼,O
负三楼,O
跟,O
路,O
路西,O
转,O
转-,O
转角,O
过桥,O
这一个字,O
这是,O
进,O
进门,O
连接体,O
邮寄地址_,O
里,O
里电联,O
里纸条写上您要需求会员名拒绝顺风,O
重要物品需联系本人签收谢谢,O
金,O
镇,O
阿广收,O
附,O
附近,O
附近电联,O
隔壁,O
靠,O
颠,O
饰品易碎勿摔,O
首层,O
马某某,O
下,assist
东,assist
东侧,assist
东北侧,assist
东区,assist
东南,assist
东头,assist
东段,assist
东边,assist
东面,assist
东首,assist
中,assist
中段,assist
中间,assist
之间,assist
从东向西,assist
以东,assist
以北,assist
以西,assist
侧边,assist
傍,assist
内,assist
内圈,assist
内部,assist
到头,assist
前面,assist
北,assist
北侧,assist
北段,assist
北路,assist
北面,assist
南,assist
南侧,assist
南恻,assist
南段,assist
南面,assist
原,assist
口,assist
右边,assist
右面,assist
后,assist
后门,assist
后面,assist
向东,assist
向北,assist
向南,assist
向西北,assist
场上,assist
外,assist
对过,assist
对面,assist
尾,assist
左侧,assist
左右,assist
左转,assist
左边,assist
底,assist
弄内,assist
往下,assist
往东,assist
往北,assist
往西,assist
斜对面,assist
新,assist
旁,assist
旁边,assist
楼上,assist
楼下,assist
正对面,assist
河西,assist
湖边,assist
直入,assist
老,assist
背后,assist
街上,assist
西,assist
西侧,assist
西北侧,assist
西北角,assist
西南,assist
西头,assist
西岸,assist
西段,assist
西边,assist
路南,assist
路口,assist
边,assist
边上,assist
里,assist
里面,assist
附近,assist
院内,assist
隔壁,assist
0000单元,cellno
000单元,cellno
00单元,cellno
00门,cellno
0单元,cellno
0号,cellno
0梯,cellno
0门,cellno
A00单元,cellno
AA0单元,cellno
A单元,cellno
A座,cellno
一单元,cellno
七单元,cellno
三单元,cellno
东单元,cellno
两单元,cellno
九单元,cellno
二单元,cellno
五单元,cellno
八单元,cellno
六单元,cellno
四单元,cellno
三亚市,city
三门峡市,city
上海,city
上海市,city
上虞市,city
上饶市,city
东莞,city
东莞市,city
东阳,city
东阳市,city
中卫市,city
中山市,city
临夏回族自治州,city
临沂市,city
丽水,city
丽水市,city
丽江市,city
义乌,city
义乌市,city
乌海市,city
乌鲁木齐市,city
乐青市,city
九江市,city
亳州市,city
仁怀市,city
伊犁哈萨克自治州,city
余姚,city
余姚市,city
佛山,city
佛山市,city
保定市,city
信阳市,city
克拉玛依市,city
六安市,city
六盘水市,city
兰州市,city
兰溪市,city
内江市,city
凉山彝族自治州,city
包头市,city
北京,city
北京市,city
南京,city
南京市,city
南充市,city
南宁市,city
南平市,city
南昌市,city
南通市,city
南阳市,city
厦门市,city
双鸭山市,city
台卅市,city
台州,city
台州市,city
合肥市,city
吉首市,city
吐鲁番市,city
吴忠市,city
呼伦贝尔市,city
呼和浩特市,city
咸宁市,city
咸阳市,city
哈尔滨市,city
唐山市,city
商丘市,city
嘉兴,city
嘉兴市,city
大同市,city
大庆市,city
大理市,city
大理白族自治州,city
大连市,city
天水市,city
天津市,city
太原,city
太原市,city
奉化,city
奉化市,city
威海市,city
娄底市,city
孝感,city
孝感市,city
宁德市,city
宁波,city
宁波市,city
安庆市,city
安康市,city
安阳市,city
安陆市,city
安顺市,city
宜宣市,city
宜宾市,city
宜昌市,city
宝鸡市,city
宣城市,city
宿州市,city
宿迁市,city
山南地区,city
岳阳市,city
嵊州市,city
巴中市,city
市辖区,city
常州市,city
常德市,city
平湖,city
平顶山市,city
广元市,city
广州市,city
广洲市,city
庆阳市,city
库尔勒市,city
廊坊市,city
建德市,city
开封市,city
张家界市,city
张掖市,city
徐州市,city
德宏傣族景颇族自治州,city
德宏州,city
忻州市,city
怀化市,city
怒江州,city
恩施土家族苗族自治州,city
惠州,city
惠州市,city
惠州市区,city
成都市,city
扬州市,city
承德市,city
抚州市,city
抚顺市,city
拉萨市,city
揭阳市,city
攀枝花市,city
文山壮族苗族自治州,city
文山州,city
新余市,city
无锡市,city
日喀则市,city
昆明,city
昆明市,city
昌吉回族自治州,city
昭通市,city
晋中市,city
景德镇,city
曲靖市,city
朝鲜族延边自治州,city
杭州,city
杭州市,city
枣庄市,city
柳州市,city
株洲市,city
桂林市,city
梅州市,city
榆林市,city
武义县,city
武汉市,city
毕节市,city
永州市,city
永康市,city
汉中市,city
汕头市,city
江门市,city
池州市,city
沅江市,city
沈阳市,city
沧州市,city
河池市,city
河津市,city
泉州市,city
泰州市,city
泸州市,city
洛阳市,city
济南市,city
济宁市,city
浙金,city
海口市,city
海宁市,city
淄博市,city
淮北市,city
淮安市,city
深圳,city
深圳市,city
温岭,city
温岭市,city
温州,city
温州市,city
渭南市,city
湖州,city
湖州市,city
湘潭,city
湘潭市,city
湛江市,city
溧阳市,city
滁州市,city
漯河市,city
漳州市,city
潍坊市,city
潮州市,city
濮阳市,city
烟台市,city
照通市,city
牡丹江市,city
玉林市,city
玉溪市,city
玉环市,city
瑞安,city
瑞安市,city
白银市,city
百色市,city
益阳市,city
盐城市,city
盘锦,city
盘锦市,city
眉山市,city
石家庄市,city
福州,city
福州市,city
秦皇岛市,city
红河哈尼族彝族自治州,city
红河州,city
绍兴,city
绍兴市,city
绵阳市,city
舟山,city
舟山市,city
芜湖市,city
苏州市,city
范市,city
荆州市,city
莆田市,city
菏泽市,city
萍乡市,city
营口市,city
葫芦岛市,city
蚌埠,city
蚌埠市,city
衡阳市,city
衢州,city
衢州市,city
西宁市,city
西安市,city
许昌市,city
诸暨,city
诸暨市,city
象山县,city
贵阳市,city
贺州市,city
资阳市,city
赣州市,city
辽源市,city
达州,city
达州市,city
连云港,city
连云港市,city
通辽市,city
遂宁市,city
遵义市,city
邢台市,city
那曲地区,city
邯郸市,city
邵阳市,city
郑州市,city
鄂州市,city
酒泉市,city
重庆市,city
金华,city
金华市,city
金昌市,city
铜仁,city
铜仁市,city
铜川市,city
银川市,city
锡林郭勒盟,city
镇江市,city
长春市,city
长沙市,city
长治市,city
阜新市,city
阜阳,city
阜阳市,city
防城港,city
阳江市,city
阿克苏地区,city
阿克苏市,city
陇南市,city
霸州市,city
青岛市,city
鞍山市,city
驻马店,city
驻马店市,city
鹤壁市,city
黄冈市,city
黄山市,city
黄石市,city
黔南布依族苗族自治州,city
黔西南布依族苗族自治州,city
齐齐哈尔市,city
龙岩市,city
000社区,community
00都,community
丁前村,community
丁岙山村,community
